participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
P6_,ch,0,1042.0168067226891,481.14,188.17000000000002,158.07999999999998,41.47500000000001,24.16999999999999,22.92,11.570241935483876,4.650846774193548,6.206653225806447,3,5,7,4,4,2
P6_,ch,1,1134.453781512605,599.12,175.9,220.26999999999998,46.995000000000005,27.865000000000002,26.550000000000004,13.082185185185187,5.87096296296296,6.977222222222222,7,9,8,2,4,5
P6_,ch,2,2773.109243697479,663.45,143.86,268.01,77.72999999999999,18.68,26.644999999999996,14.05587878787878,4.039287878787874,6.138075757575756,17,20,5,6,10,4
P6_,ch,3,705.8823529411765,583.68,76.48,113.22000000000001,74.39999999999999,10.71,16.270000000000003,13.750178571428576,2.849047619047619,4.436607142857143,4,2,3,3,1,1
P6_,ch,4,1109.2436974789916,533.26,213.14,229.18,84.69,41.230000000000004,53.315,16.68405303030303,8.060871212121214,7.3298863636363665,10,10,3,4,3,2
P6_,ch,5,1142.857142857143,666.5600000000001,108.09,160.65,70.71000000000001,13.035,19.900000000000002,14.45393382352941,3.9932720588235315,5.845367647058825,11,9,3,5,2,5
P6_,ch,6,1210.0840336134454,598.0799999999999,149.78,205.81,47.824999999999996,21.39,20.66000000000001,12.553124999999996,4.407256944444444,5.863229166666671,4,5,2,2,3,5
P6_,ch,7,1243.6974789915967,482.42,94.97,127.99000000000001,39.214999999999996,15.989999999999998,11.535,10.361621621621628,4.2887162162162165,3.8691216216216233,8,11,7,4,3,5
P6_,ch,8,1436.9747899159665,426.63,90.38999999999999,156.86,41.59500000000001,16.905,20.935,9.796929824561404,4.396578947368419,4.6442105263157885,4,5,1,4,8,7
P6_,ch,9,1789.9159663865546,748.11,275.75,316.41,136.685,39.824999999999996,38.36,19.504765258215972,7.196314553990612,8.849671361502347,12,13,13,4,7,8
P6_,ch,10,638.655462184874,647.9499999999999,74.83,95.83,55.17499999999998,11.200000000000003,14.5,19.228684210526318,3.9966447368421036,5.393947368421054,3,1,4,1,2,2
P6_,ch,11,966.3865546218487,516.3,86.37,125.67999999999999,41.72,12.055,13.125000000000004,13.052869565217396,4.229782608695653,3.877913043478259,3,8,3,4,4,5
P6_,ch,12,941.1764705882354,765.0699999999999,174.99,276.43,70.33999999999999,20.599999999999994,23.895000000000003,16.851696428571422,6.073124999999998,7.589107142857146,5,7,2,2,3,3
P6_,ch,13,478.9915966386555,317.62,108.94999999999999,224.37,25.93999999999999,12.45,30.150000000000002,9.51605263157895,4.0312280701754375,10.226842105263154,3,2,1,1,1,1
P6_,ch,14,3235.294117647059,424.25,165.34,280.39,49.894999999999996,28.959999999999997,25.514999999999986,9.057948051948053,3.4320389610389603,5.251883116883116,20,25,2,7,10,10
P6_,ch,15,1462.18487394958,577.76,222.35,281.55,69.515,44.555,33.295,13.883908045977016,6.190632183908043,9.03083333333333,6,7,4,7,4,8
P6_,ch,16,672.2689075630252,658.99,161.75,224.79000000000002,77.27500000000002,29.784999999999997,27.710000000000008,17.660187500000003,6.0803125,9.175625,3,2,2,1,2,1
P6_,ch,17,798.3193277310925,551.8199999999999,76.66,153.8,45.31999999999999,12.299999999999997,18.25,14.976105263157898,3.9722105263157874,3.7084736842105275,1,1,3,1,3,2
P6_,ch,18,1436.9747899159665,414.67,292.11,371.83,52.67500000000001,62.19500000000001,45.775000000000006,13.561959064327489,8.461783625730993,9.732163742690064,3,5,1,5,5,8
P6_,ch,19,857.1428571428572,568.4200000000001,122.07,134.52,51.33,21.515,15.015,12.868137254901953,5.137549019607843,4.570049019607844,4,5,7,4,2,6
P6_,sc,20,3243.6974789915967,991.52,386.47999999999996,320.98,87.31000000000002,80.625,50.2,17.671943005181333,9.291139896373057,7.9603108808290175,18,11,34,8,8,5
P6_,sc,21,3319.3277310924373,1096.8600000000001,339.05,272.4,85.04999999999998,40.040000000000006,31.005,17.047139240506333,7.308278481012658,6.075113924050629,23,24,24,15,12,15
