participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
sc,sc,0,2268.90756302521,1514.47,667.36,268.74,219.20499999999998,93.205,51.574999999999996,36.416888888888856,16.625203703703704,8.29790740740741,14,14,18,9,2,12
sc,sc,1,3243.6974789915967,991.52,386.47999999999996,320.98,87.31000000000002,80.625,50.2,17.671943005181333,9.291139896373057,7.9603108808290175,18,11,34,8,8,5
sc,sc,2,2596.638655462185,545.66,253.42000000000002,149.41000000000003,48.49500000000002,22.584999999999997,19.129999999999995,11.343009708737867,5.528462783171522,3.587621359223298,9,9,17,11,9,12
sc,sc,3,4075.6302521008406,1064.76,480.83,388.06,110.68500000000002,72.11,57.58500000000001,15.553742268041244,7.037371134020622,5.257979381443292,29,21,51,19,17,12
sc,sc,4,3210.0840336134456,852.29,446.53999999999996,258.06,111.05499999999998,82.52,40.925000000000004,15.940458115183244,8.52723821989528,6.191400523560211,10,16,15,12,7,14
sc,sc,5,2386.5546218487398,945.8000000000001,321.53999999999996,274.53000000000003,94.88,26.67,23.47,18.314084507042267,7.290352112676056,5.605545774647887,12,10,18,9,7,5
sc,sc,6,2159.6638655462184,1036.31,422.61,235.23000000000002,84.89999999999998,33.69,31.010000000000005,21.02519455252919,8.274338521400782,5.620797665369648,7,6,17,11,12,8
sc,sc,7,2722.6890756302523,925.72,383.06,239.99,91.12500000000003,38.175,32.559999999999995,15.490308641975298,6.510370370370369,4.24445987654321,11,12,17,9,10,12
sc,sc,8,3655.46218487395,852.97,290.9,183.35,99.85499999999999,24.6,19.499999999999996,11.468666666666664,4.597160919540232,3.1728965517241394,17,20,20,13,14,11
sc,sc,9,3058.823529411765,775.7,295.17,227.42000000000002,83.465,30.025000000000002,19.595000000000002,12.445178571428572,4.753379120879121,3.5617032967032967,14,9,16,11,12,11
sc,sc,10,2798.3193277310925,752.4399999999999,323.41999999999996,230.89999999999998,71.25500000000001,21.115000000000002,16.54,13.299234234234238,5.518333333333329,3.6879429429429424,12,12,17,7,5,12
sc,sc,11,2873.949579831933,807.1299999999999,319.09000000000003,223.82000000000002,73.455,43.795,21.335000000000008,13.699254385964922,5.96233918128655,3.6693567251461996,20,19,16,14,7,8
sc,sc,12,3067.2268907563025,911.86,361.27,239.01,68.97,36.00999999999999,22.339999999999996,14.007835616438355,5.66104109589041,3.7522191780821923,6,10,15,14,11,13
sc,sc,13,2436.9747899159665,1236.0900000000001,441.71000000000004,226.5,112.69999999999999,56.945,22.37,19.996862068965516,7.847155172413795,5.196344827586208,9,12,13,8,10,10
sc,sc,14,2428.571428571429,1053.59,387.33000000000004,191.96,116.06,49.650000000000006,23.740000000000002,19.05764705882352,8.068373702422152,4.612491349480966,13,9,11,12,10,8
sc,sc,15,2899.1596638655465,788.3299999999999,376.71,231.99,195.09499999999997,58.29,36.53,17.026507246376806,8.209188405797097,6.268637681159421,24,23,33,10,10,8
sc,sc,16,3806.7226890756306,682.13,224.12,183.11,77.725,38.085,35.43,9.12578366445916,5.377715231788081,4.103719646799116,16,24,27,10,15,12
sc,sc,17,4142.857142857143,982.3599999999999,492.61,205.57,241.55000000000004,105.83499999999998,36.68,16.8100709939148,6.8235294117647065,4.771795131845837,41,32,18,7,9,13
sc,sc,18,2403.361344537815,1543.46,684.3299999999999,296.44,297.90999999999997,194.305,49.165,34.63057692307691,15.527989510489508,6.267325174825174,12,14,21,8,6,5
sc,sc,19,4109.243697478992,1346.37,632.45,335.82,195.52499999999998,127.75,52.765,25.46469325153374,11.82209611451942,6.266370143149287,19,8,39,18,15,18
sc,sc,20,3033.6134453781515,612.0,246.70999999999998,189.82,79.99,31.465000000000003,29.57,12.838240997229915,5.021329639889194,4.204515235457063,9,7,18,11,11,9
sc,sc,21,2621.8487394957983,1084.77,408.63,264.71,106.16999999999999,49.01500000000001,28.289999999999992,18.961298076923068,7.232516025641025,5.182435897435898,13,11,16,12,10,9
