participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
user1_,ch,0,1218.4873949579833,593.45,376.83,169.01,46.845,37.565000000000005,21.515,12.363965517241382,8.506206896551728,4.638827586206897,4,6,2,2,3,5
user1_,ch,1,1428.5714285714287,670.41,393.07,176.15,47.29999999999998,28.229999999999997,28.654999999999998,11.689352941176466,7.957441176470593,4.877264705882353,8,5,14,4,5,5
user1_,ch,2,1193.2773109243699,658.63,434.45,141.91,49.92500000000001,43.209999999999994,19.41,13.251654929577471,9.593873239436626,4.712359154929577,6,4,6,5,3,4
user1_,ch,3,1142.857142857143,559.2,375.07,182.56,58.254999999999995,62.714999999999996,31.189999999999998,12.312500000000002,10.260551470588238,4.939889705882353,5,4,7,2,4,8
user1_,ch,4,1016.8067226890756,761.0500000000001,467.95,241.14999999999998,117.55,60.21,24.685,17.2005785123967,10.704380165289253,6.56892561983471,5,5,8,2,3,4
user1_,ch,5,1327.731092436975,743.71,430.48,180.85,65.49000000000001,50.35,17.64,16.000664556962032,12.090284810126583,5.369335443037976,8,8,11,5,2,7
user1_,ch,6,1243.6974789915967,688.6,365.66999999999996,220.76,71.50000000000001,48.83,17.455000000000002,13.677601351351345,8.667533783783785,4.871621621621621,7,4,9,6,2,3
user1_,ch,7,1226.8907563025211,704.53,405.27,183.23,89.22999999999999,41.07499999999999,23.069999999999997,14.281883561643834,9.797739726027388,5.985890410958901,6,6,9,4,4,5
user1_,ch,8,1386.5546218487395,609.01,359.38,168.28,63.22999999999999,39.154999999999994,36.955,13.116848484848484,7.628636363636366,4.083030303030304,11,7,9,5,4,5
user1_,ch,9,1184.873949579832,727.3,434.39,151.13,45.35000000000001,30.58,25.815,14.855921985815598,8.96450354609929,4.920390070921988,5,4,7,2,2,6
user1_,ch,10,1420.1680672268908,801.21,534.18,219.3,88.16499999999999,57.55500000000001,33.325,14.752485207100595,10.057781065088765,5.466094674556209,8,5,14,8,3,8
user1_,ch,11,1487.3949579831933,791.32,463.87,151.24,81.66499999999998,51.36,20.660000000000004,14.09697740112994,8.0933615819209,4.210367231638418,5,3,10,3,3,4
user1_,ch,12,1151.2605042016808,681.9399999999999,458.01,230.89,56.82500000000002,44.345,19.590000000000003,15.304197080291965,11.350291970802918,6.620766423357663,8,10,12,5,3,4
user1_,ch,13,1260.5042016806724,742.43,468.69,216.01,70.39999999999998,51.38999999999999,21.88,14.5579,10.346933333333332,6.002833333333332,5,7,7,6,5,5
user1_,ch,14,1117.6470588235295,661.31,450.56,228.46,69.46,44.465,20.63,15.548872180451127,10.709699248120305,6.046729323308266,8,6,4,5,2,4
user1_,ch,15,1042.0168067226891,651.6700000000001,500.37,185.67,54.469999999999985,52.125,32.595,15.679475806451617,11.534314516129031,7.545564516129032,6,4,7,3,5,4
user1_,ch,16,1226.8907563025211,798.77,541.51,192.5,81.08500000000001,53.80500000000001,29.145000000000003,16.771712328767123,12.011746575342467,5.979931506849313,5,8,11,5,6,4
user1_,ch,17,1327.731092436975,589.66,384.4,203.18,71.28500000000001,34.79,27.160000000000004,12.925474683544305,8.616297468354427,5.452405063291138,12,8,8,5,5,4
user1_,ch,18,1394.9579831932774,721.62,476.38,200.13,77.39,34.82,30.365,13.055120481927716,9.725572289156625,4.649307228915661,7,6,11,6,5,3
user1_,ch,19,1529.4117647058824,1030.4,509.83000000000004,201.66,81.39000000000003,44.07000000000002,26.854999999999997,22.761043956043956,12.411318681318683,5.695247252747251,6,7,11,3,6,6
user1_,ch,20,1243.6974789915967,616.45,443.53999999999996,190.24,50.81000000000002,51.11499999999998,16.755,12.491621621621626,9.96608108108108,4.894087837837838,8,8,6,4,4,8
user1_,ch,21,1226.8907563025211,615.54,411.86,199.95,70.31,46.99499999999999,35.46,12.956301369863013,9.770000000000003,5.499554794520548,10,8,7,7,3,5
user1_,ch,22,1487.3949579831933,884.04,450.56999999999994,255.13,73.395,71.2,25.145,21.690254237288123,13.318389830508478,7.213813559322034,8,6,13,7,8,3
user1_,ch,23,1084.0336134453783,576.24,366.52,162.78,48.07000000000001,46.08,19.165,12.103720930232555,9.293604651162791,4.128333333333334,5,4,7,3,0,4
user1_,ch,24,1235.2941176470588,635.25,354.37,195.56,79.47,39.825,40.465,12.349353741496595,7.1779591836734715,6.082108843537416,10,5,8,4,1,5
user1_,ch,25,1529.4117647058824,694.58,402.96,187.01,75.595,31.864999999999988,28.044999999999998,12.090164835164835,7.290714285714287,4.6526098901098925,12,5,5,5,5,8
user1_,ch,26,1663.8655462184875,1054.9299999999998,533.51,169.31,102.60000000000001,37.17,22.369999999999997,21.473181818181796,12.013358585858583,5.925328282828284,11,8,10,8,6,7
user1_,ch,27,1411.764705882353,671.6899999999999,366.46000000000004,179.38,63.14,33.995,29.27,12.446130952380951,8.516696428571425,5.173035714285714,9,7,11,6,7,2
user1_,ch,28,1142.857142857143,618.65,430.72999999999996,207.52,89.97,55.269999999999996,19.96,13.241213235294111,10.164007352941177,5.439963235294116,6,4,5,3,5,5
user1_,ch,29,1159.6638655462186,821.47,532.41,209.17000000000002,132.475,44.55499999999999,33.175000000000004,16.409565217391293,10.961847826086958,6.045072463768111,8,4,8,3,2,5
user1_,ch,30,1151.2605042016808,636.4100000000001,447.02,164.43,67.845,52.975,15.38,14.28368613138686,9.710255474452552,5.004817518248174,10,5,9,4,3,5
user1_,ch,31,1075.6302521008404,713.63,467.65,264.04,73.945,53.40499999999999,32.715,16.660742187500002,11.43203125,6.835078125000002,3,5,8,5,1,5
user1_,ch,32,1109.2436974789916,782.1600000000001,470.64000000000004,234.87,86.33500000000001,33.66499999999999,42.57,15.22962121212121,11.067803030303033,5.922083333333336,5,8,7,5,3,3
user1_,ch,33,1218.4873949579833,574.28,402.28000000000003,219.91,52.795,59.57,23.165000000000003,12.575448275862065,10.21093103448276,5.776689655172414,8,8,5,3,4,7
user1_,ch,34,1210.0840336134454,722.29,436.03999999999996,195.93,77.38999999999999,76.445,64.91499999999999,14.25663194444445,10.576597222222226,5.90517361111111,5,6,8,2,3,3
user1_,ch,35,1773.109243697479,966.25,485.78,172.54000000000002,89.20500000000001,41.84,39.73,20.674715639810426,11.182393364928906,6.3242890995260685,11,10,9,5,3,3
user1_,ch,36,1058.8235294117646,699.03,423.52,271.3,131.13499999999996,113.92,38.67,15.628968253968262,11.32055555555556,6.805436507936508,3,5,7,4,4,3
user1_,ch,37,1243.6974789915967,1059.63,481.88,344.12,201.995,95.39500000000001,38.665000000000006,27.665,14.475810810810815,9.820844594594591,9,8,8,4,2,5
user1_,ch,38,1092.4369747899161,711.97,291.38,182.62,87.06500000000001,30.884999999999994,22.214999999999996,15.618461538461538,7.219692307692307,4.931999999999999,6,7,6,7,6,5
user1_,ch,39,1058.8235294117646,601.13,332.03000000000003,175.97000000000003,63.62499999999999,38.88000000000001,31.155000000000005,13.459682539682548,8.262023809523813,5.324880952380952,4,6,5,2,3,6
user1_,ch,40,941.1764705882354,688.42,351.99,245.90999999999997,65.88999999999997,50.63000000000001,23.314999999999998,13.486651785714278,9.258839285714282,6.383258928571427,6,7,7,3,1,3
user1_,ch,41,1084.0336134453783,773.9300000000001,459.65,253.11,74.83000000000001,48.035,34.36,16.20445736434108,11.450581395348838,6.936085271317829,8,7,6,3,5,5
user1_,ch,42,1226.8907563025211,627.5600000000001,371.03,208.07,53.925,75.345,23.894999999999996,12.653219178082194,9.853904109589045,5.804143835616438,8,5,7,4,2,3
user1_,ch,43,949.5798319327731,629.27,393.61,236.39,78.61500000000001,57.98500000000001,28.14,15.824070796460186,12.093805309734519,6.7183185840708,10,6,5,5,5,4
user1_,ch,44,1193.2773109243699,610.48,438.36,219.60000000000002,55.45000000000002,43.885000000000005,28.990000000000002,12.392429577464783,9.284014084507046,5.884154929577467,5,4,9,6,5,8
user1_,ch,45,1218.4873949579833,653.2,338.99,216.12,77.36499999999998,39.584999999999994,20.020000000000003,13.799862068965517,8.693655172413788,5.323724137931038,9,6,8,4,7,5
user1_,ch,46,1235.2941176470588,655.4,392.95,220.20999999999998,50.44999999999999,42.055,26.275000000000006,11.915782312925163,10.059897959183667,5.2139115646258505,11,5,9,4,3,6
